Prompt ID,Metric,p-value,Test Used,Corrected p-value,Significant
SSP1,bleu_score,0.2163172213887318,t-test,0.3480675969171987,False
SSP2,bleu_score,0.3099858547643876,t-test,0.404329375779636,False
SSP3,bleu_score,0.26341923186931937,t-test,0.37553267045454547,False
SSP4,bleu_score,0.34405523896793677,t-test,0.4292493949779385,False
SSP5,bleu_score,0.0014021822703981844,t-test,0.014347491709218809,True
SSP6,bleu_score,0.0003676004700208202,t-test,0.009644952487472564,True
SSP7,bleu_score,0.09825215574698687,t-test,0.1901654627361036,False
SSP8,bleu_score,0.921875,Wilcoxon,0.9375,False
SSP9,bleu_score,0.9670661085680313,t-test,0.9670661085680313,False
SSP10,bleu_score,0.232421875,Wilcoxon,0.3521978276487294,False
CEP1,bleu_score,0.004315972548673502,t-test,0.028773150324490016,True
CEP2,bleu_score,0.08447111482754986,t-test,0.18100953177332113,False
CEP3,bleu_score,0.275390625,Wilcoxon,0.37553267045454547,False
CEP4,bleu_score,0.15084247210328733,t-test,0.2661925978293306,False
CEP5,bleu_score,0.40533894440563323,t-test,0.4768693463595685,False
CEP6,bleu_score,0.6608162388446155,t-test,0.708017398762088,False
CEP7,bleu_score,0.020003251601315008,t-test,0.07501219350493128,False
CEP8,bleu_score,0.1266718360317513,t-test,0.23031242914863873,False
CEP9,bleu_score,0.2746841116007289,t-test,0.37553267045454547,False
CEP10,bleu_score,0.012243065263612421,t-test,0.055881900408525205,False
CT1,bleu_score,0.362591029467757,t-test,0.4351092353613084,False
CT2,bleu_score,0.023698264529575477,t-test,0.08364093363379581,False
CT3,bleu_score,0.5557811401979286,t-test,0.6063066983977403,False
CT4,bleu_score,0.4793058892172902,t-test,0.5325620991303225,False
CT5,bleu_score,0.30207090010795506,t-test,0.40276120014394007,False
CT6,bleu_score,0.08749817897909605,t-test,0.18103071512916424,False
CT7,bleu_score,0.4690983285334325,t-test,0.531054711547282,False
CT8,bleu_score,0.038503103525634116,t-test,0.11000886721609748,False
CT9,bleu_score,0.0035273587441948,t-test,0.026455190581461,True
CT10,bleu_score,0.013039110095322548,t-test,0.055881900408525205,False
EXP1,bleu_score,0.7300061287471349,t-test,0.7684275039443526,False
EXP2,bleu_score,0.011608433022635974,t-test,0.055881900408525205,False
EXP3,bleu_score,0.025655040138477928,t-test,0.0855168004615931,False
EXP4,bleu_score,0.0017609211134515586,t-test,0.015093609543870502,True
EXP5,bleu_score,0.1090686271050858,t-test,0.20450367582203588,False
EXP6,bleu_score,0.07254370405637935,t-test,0.16740854782241388,False
EXP7,bleu_score,0.8031221706078577,t-test,0.8308160385598529,False
